filename,x_label,y_value
cropped_page_2.png,2007.04,13.39M
cropped_page_2.png,2007.07,13.37M
cropped_page_2.png,2007.10,13.39M
cropped_page_2.png,2008.01,13.39M
cropped_page_2.png,2008.04,13.39M
cropped_page_2.png,2008.07,13.39M
cropped_page_2.png,2008.10,13.39M
cropped_page_2.png,2009.01,12.53M
cropped_page_2.png,2009.04,12.54M
cropped_page_2.png,2009.07,12.54M
cropped_page_2.png,2009.10,12.54M
cropped_page_2.png,2010.01,12.53M
cropped_page_2.png,2010.04,12.54M
cropped_page_2.png,2010.07,12.54M
cropped_page_2.png,2010.10,12.54M
cropped_page_2.png,2011.01,12.53M
cropped_page_2.png,2011.04,12.54M
cropped_page_2.png,2011.07,12.54M
cropped_page_2.png,2011.10,12.54M
cropped_page_2.png,2012.01,12.54M
cropped_page_2.png,2012.04,12.54M
cropped_page_2.png,2012.07,12.54M
cropped_page_2.png,2012.10,12.54M
cropped_page_2.png,2013.01,12.54M
cropped_page_2.png,2013.04,12.54M
cropped_page_2.png,2013.07,12.54M
cropped_page_2.png,2013.10,12.54M
cropped_page_2.png,2014.01,12.54M
cropped_page_2.png,2014.04,12.54M
cropped_page_2.png,2014.07,12.54M
cropped_page_2.png,2014.10,12.54M
cropped_page_2.png,2015.01,12.54M
cropped_page_2.png,2015.04,12.54M
cropped_page_2.png,2015.07,12.54M
cropped_page_2.png,2015.10,10M
cropped_page_2.png,2016.01,10M
cropped_page_2.png,2016.04,10M
cropped_page_2.png,2016.07,13.20M
cropped_page_2.png,2016.10,13.24M
cropped_page_2.png,2017.01,13.22M
cropped_page_2.png,2017.04,13.24M
cropped_page_2.png,2017.07,13.24M
cropped_page_2.png,2017.10,13.24M
cropped_page_2.png,2018.01,13.24M
cropped_page_2.png,2018.04,13.24M
cropped_page_2.png,2018.07,13.24M
cropped_page_2.png,2018.10,13.24M
cropped_page_2.png,2019.01,13.22M
cropped_page_2.png,2019.04,13.24M
cropped_page_2.png,2019.07,13.24M
cropped_page_2.png,2019.10,13.25M
cropped_page_2.png,2020.01,13.24M
cropped_page_2.png,2020.04,13.24M
cropped_page_2.png,2020.07,13.24M
cropped_page_2.png,2020.10,13.24M
cropped_page_2.png,2021.01,13.24M
cropped_page_2.png,2021.04,13.24M
cropped_page_2.png,2021.07,13.34M
cropped_page_2.png,2021.10,13.31M
cropped_page_2.png,2022.01,13.34M
cropped_page_2.png,2022.04,13.34M
cropped_page_2.png,2022.07,13.39M
