stock_name,date,year,month,position
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-04,2023,4,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-05,2023,5,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-06,2023,6,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-07,2023,7,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-08,2023,8,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-09,2023,9,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-10,2023,10,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-11,2023,11,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2023-12,2023,12,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-01,2024,1,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-02,2024,2,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-03,2024,3,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-04,2024,4,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-05,2024,5,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-06,2024,6,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-07,2024,7,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-08,2024,8,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-09,2024,9,3100000.0
38./ THEOPHANU STIFTUNG G & G POLLERT,2024-10,2024,10,3100000.0
38.1 Sauter Claus,2007-04,2007,4,13390000.0
38.1 Sauter Claus,2007-05,2007,5,13390000.0
38.1 Sauter Claus,2007-06,2007,6,13390000.0
38.1 Sauter Claus,2007-07,2007,7,13370000.0
38.1 Sauter Claus,2007-08,2007,8,13370000.0
38.1 Sauter Claus,2007-09,2007,9,13370000.0
38.1 Sauter Claus,2007-10,2007,10,13390000.0
38.1 Sauter Claus,2007-11,2007,11,13390000.0
38.1 Sauter Claus,2007-12,2007,12,13390000.0
38.1 Sauter Claus,2008-01,2008,1,13390000.0
38.1 Sauter Claus,2008-02,2008,2,13390000.0
38.1 Sauter Claus,2008-03,2008,3,13390000.0
38.1 Sauter Claus,2008-04,2008,4,13390000.0
38.1 Sauter Claus,2008-05,2008,5,13390000.0
38.1 Sauter Claus,2008-06,2008,6,13390000.0
38.1 Sauter Claus,2008-07,2008,7,13390000.0
38.1 Sauter Claus,2008-08,2008,8,13390000.0
38.1 Sauter Claus,2008-09,2008,9,13390000.0
38.1 Sauter Claus,2008-10,2008,10,13390000.0
38.1 Sauter Claus,2008-11,2008,11,13390000.0
38.1 Sauter Claus,2008-12,2008,12,13390000.0
38.1 Sauter Claus,2009-01,2009,1,12530000.0
38.1 Sauter Claus,2009-02,2009,2,12530000.0
38.1 Sauter Claus,2009-03,2009,3,12530000.0
38.1 Sauter Claus,2009-04,2009,4,12540000.0
38.1 Sauter Claus,2009-05,2009,5,12540000.0
38.1 Sauter Claus,2009-06,2009,6,12540000.0
38.1 Sauter Claus,2009-07,2009,7,12540000.0
38.1 Sauter Claus,2009-08,2009,8,12540000.0
38.1 Sauter Claus,2009-09,2009,9,12540000.0
38.1 Sauter Claus,2009-10,2009,10,12540000.0
38.1 Sauter Claus,2009-11,2009,11,12540000.0
38.1 Sauter Claus,2009-12,2009,12,12540000.0
38.1 Sauter Claus,2010-01,2010,1,12530000.0
38.1 Sauter Claus,2010-02,2010,2,12530000.0
38.1 Sauter Claus,2010-03,2010,3,12530000.0
38.1 Sauter Claus,2010-04,2010,4,12540000.0
38.1 Sauter Claus,2010-05,2010,5,12540000.0
38.1 Sauter Claus,2010-06,2010,6,12540000.0
38.1 Sauter Claus,2010-07,2010,7,12540000.0
38.1 Sauter Claus,2010-08,2010,8,12540000.0
38.1 Sauter Claus,2010-09,2010,9,12540000.0
38.1 Sauter Claus,2010-10,2010,10,12540000.0
38.1 Sauter Claus,2010-11,2010,11,12540000.0
38.1 Sauter Claus,2010-12,2010,12,12540000.0
38.1 Sauter Claus,2011-01,2011,1,12530000.0
38.1 Sauter Claus,2011-02,2011,2,12530000.0
38.1 Sauter Claus,2011-03,2011,3,12530000.0
38.1 Sauter Claus,2011-04,2011,4,12540000.0
38.1 Sauter Claus,2011-05,2011,5,12540000.0
38.1 Sauter Claus,2011-06,2011,6,12540000.0
38.1 Sauter Claus,2011-07,2011,7,12540000.0
38.1 Sauter Claus,2011-08,2011,8,12540000.0
